GSP,S/S or Busbar Name Node 1,S/S or Busbar Name Node 2,Operating Voltage (kV),Positive Sequence Impedance R % on (100 MVA Base),Positive Sequence Impedance X (% on 100 MVA Base),Susceptance B (% on 100 MVA Base),Rating Information (MVA),Circuit Length (km),Licence Area
Knaresborough,Harrogate 33kV,Oatlands T1 33kV,33.0,4.6240000000000006,3.451,0.0,21.4341,4.428,Northeast
Knaresborough,Harrogate 33kV,Oatlands T2 33kV,33.0,4.627,3.456,0.0,21.4341,4.432,Northeast
Knaresborough,Husthwaite 33kV,Sowerby T1 33kV,33.0,28.139999999999997,36.13,0.0,18.862,11.089,Northeast
Knaresborough,Husthwaite Green 132kV,Husthwaite GT1 132kV,132.0,0.0,0.001,0.0,Busbar,Busbar,Northeast
Knaresborough,Husthwaite Green 132kV,Husthwaite Red 132kV,132.0,0.0,0.001,0.0,Busbar,Busbar,Northeast
Knaresborough,Osbaldwick-Husthwaite-Sheriff tee,Sheriff Hutton GT1 132kV,132.0,0.844,1.93,0.5,114,8.355,Northeast
Knaresborough,Wormald Green 132kV,Wormald Green GT2 132kV,132.0,0.0,0.001,0.0,Busbar,Busbar,Northeast
Knaresborough,Wormald Green 132kV,Wormald Green GT3 132kV,132.0,0.0,0.001,0.0,Busbar,Busbar,Northeast
Knaresborough,Wormald Green 132kV,Wormald Green GT4 132kV,132.0,0.0,0.001,0.0,Busbar,Busbar,Northeast
Knaresborough,Wormald Green 33kV,Coneythorpe T1 33kV,33.0,17.515,35.929,0.1936,25.949,10.973,Northeast
Knaresborough,Wormald Green 33kV,Ripon T2 33kV,33.0,12.68,23.055,0.0,25.3209,7.242,Northeast
Knaresborough,Wormald Green 33kV,Wormald-Darley-Nessfield tee,33.0,21.392,39.227000000000004,0.0,23,13.211,Northeast
Knaresborough,Wormald Green GT2 11kV,Wormald Green 11kV,11.0,0.0,0.001,0.0,Busbar,Busbar,Northeast
Knaresborough,Wormald Green GT4 33kV,Wormald Green 33kV,33.0,0.0,0.001,0.0,Busbar,Busbar,Northeast
Knaresborough,Wormald-Darley-Nessfield tee,Nessfield Red 33kV,33.0,3.436,6.3,0.0,23,3.93,Northeast
Lackenby,Bran Sands 66kV,Grangetown 66kV,66.0,2.067,1.5150000000000001,0.0,34,3.853,Northeast
Lackenby,Grangetown 66kV,Lackenby 66kV,66.0,0.398,0.679,0.579,61,2.226,Northeast
Lackenby,Grangetown 66kV,Lackenby Oxygen 66kV,66.0,0.293,0.40499999999999997,2.52,62.3019,2.17,Northeast
Lackenby,Grangetown 66kV,Spencerbeck 66kV,66.0,0.9299999999999999,0.8200000000000001,1.68,44.583,3.626,Northeast
Lackenby,Lackenby 66kV,Lackenby-Cleveland-Carlin How tee 2,66.0,6.52,13.84,0.57,50,15.999,Northeast
Lackenby,Lackenby 66kV,Prissick T1 66kV,66.0,1.81,3.95,4.29,57.272,8.588,Northeast
Lackenby,Lackenby-Cleveland-Carlin How tee 1,Cleveland Potash T1 66kV,66.0,2.019,4.157,0.0,40.58,5.781,Northeast
Lackenby,Lackenby-Guisborough T1-Redcar T1 tee,Guisborough T1 66kV,66.0,0.02,0.05,0.0,57.272,0.059,Northeast
Lackenby,Lackenby-Guisborough T2 T3-Redcar T2 tee,Guisborough T2 T3 66kV,66.0,0.02,0.05,0.0,57.272,0.056,Northeast
Norton,Bowesfield 33kV,Acklam T2 33kV,33.0,2.934,5.313,2.16056,39.4387,5.929,Northeast
Norton,Bowesfield 33kV,Bowesfield-Seamer-Stokesley tee,33.0,13.614,27.250000000000004,0.0,19,13.987,Northeast
Norton,Bowesfield T4 33kV,Bowesfield 33kV,33.0,0.0,0.001,0.0,Busbar,Busbar,Northeast
Norton,Bowesfield-Seamer-Stokesley tee,Seamer Windfarm 33kV,33.0,1.093,1.331,0.0,35,1.977,Northeast
Norton,Darlington Central 33kV,Darlington Central T2 33kV,33.0,0.0,0.001,0.0,Busbar,Busbar,Northeast
Norton,Darlington Central 33kV,Rise Carr T1 33kV,33.0,0.629,1.212,0.0,37,3.682,Northeast
Norton,Darlington Central GT1 132kV,Norton-Darlington Central-Darlington tee 1,132.0,0.0499,0.1106,0.0252,111.8,0.391,Northeast
Norton,Darlington Central GT2 33kV,Darlington Central 33kV,33.0,0.0,0.001,0.0,Busbar,Busbar,Northeast
Norton,Darlington East T2 33kV,Cowton T1 33kV,33.0,14.029,29.828,0.0,25.1494,10.288799999999998,Northeast
Norton,Darlington North 33kV,Aycliffe Forrest T1 33kV,33.0,2.14045,5.6866,0.711555,26.4,5.785,Northeast
Norton,Darlington North 33kV,Aycliffe Industrial T1 33kV,33.0,21.4,30.4,0.0,17.8332,9.178,Northeast
Norton,Darlington North 33kV,Darlington North-Moor House Tee,33.0,8.0,10.5,0.0,19,3.118,Northeast
Norton,Darlington North 33kV,Heighington T2 33kV,33.0,7.199999999999999,12.5,0.0,25.3209,4.681,Northeast
Norton,Darlington North 33kV,Richmond T2 33kV,33.0,52.72,72.65,0.0,19.5,22.284,Northeast
Norton,Darlington North GT1 132kV,Darlington North-Skeeby tee,132.0,0.0,0.001,0.0,Busbar,Busbar,Northeast
Norton,Darlington North GT2 132kV,Darlington North-Skeeby tee,132.0,0.0,0.001,0.0,Busbar,Busbar,Northeast
Norton,East Appleton Generation,Catterick Camp T1 33kV,33.0,8.82,14.79,0.0,27,6.596,Northeast
Norton,Leeming Bar 33kV,Leeming Bar-Wensleydale-Bedale tee,33.0,1.828,4.25,0.0,24,2.935,Northeast
Norton,Leeming Bar 33kV,East Appleton Generation,33.0,16.7,30.86,0.0,27,9.567,Northeast
Norton,Leeming Bar GT2 33kV,Leeming Bar 33kV,33.0,0.0,0.001,0.0,Busbar,Busbar,Northeast
Norton,Leeming Bar-Leeming RAF-Thirsk tee,Thirsk T1 33kV,33.0,18.21,32.6772,0.0,25.3209,12.207,Northeast
Norton,Leeming Bar-Thirsk-Romanby tee,Thirsk T2 33kV,33.0,23.092,42.245,0.0,25,12.562,Northeast
Norton,Leeming Bar-Wensleydale-Bedale tee,Bedale T1 33kV,33.0,6.174,11.204,0.0,24,3.524,Northeast
Norton,North Tees 66kV,Malleable T1 66kV,66.0,0.32399999999999995,0.501,0.0,61.1587,2.596,Northeast
Norton,North Tees 66kV,Malleable T2 66kV,66.0,0.381,0.507,0.0,61.1587,2.589,Northeast
Norton,North Tees 66kV,North Tees T1 T4 66kV,66.0,0.0,0.001,0.0,Busbar,Busbar,Northeast
Norton,North Tees 66kV,Seal Sands Green 66kV,66.0,15.5029,19.859099999999998,0.0,20,5.769,Northeast
Norton,North Tees 66kV,Seal Sands Red 66kV,66.0,15.5029,19.859099999999998,0.0,20,5.682,Northeast
Norton,North Tees 66kV,Spencerbeck Yellow 66kV,66.0,1.828,1.7469999999999999,0.0,44.583,7.932,Northeast
Norton,North Tees 66kV,Mond T2 66kV,66.0,0.15,0.203,0.8751059999999999,62,1.098,Northeast
Norton,Norton 132kV,Darlington North GT1 132kV,132.0,0.733,3.083,0.0,164,14.107,Northeast
Norton,Norton 132kV,Darlington North GT2 132kV,132.0,0.735,3.086,0.0,164,14.116,Northeast
Norton,Norton 132kV,Norton GT1 132kV,132.0,0.003,0.009000000000000001,0.0,130,0.12,Northeast
Norton,Norton 132kV,Norton-Darlington Central-Darlington tee 2,132.0,1.3299999999999998,3.04,2.414,114,13.438,Northeast
Norton,Norton 132kV,Norton-Leeming Bar-Hutton tee 1,132.0,2.486,5.689,0.0,114,25.342,Northeast
Norton,Norton-Leeming Bar-Hutton Bonville tee 2,Huton Bonville Rail GT2 132kV,132.0,0.0,0.001,0.0,Busbar,Busbar,Northeast
Norton,Skeeby 33kV,Skeeby-Hipswell-Catterick tee 1,33.0,5.24,11.06,0.0,33,3.565,Northeast
Norton,Skeeby-Hipswell-Catterick tee 1,Hipswell T1 33kV,33.0,0.35500000000000004,0.643,0.0,39,0.875,Northeast
Norton,Skeeby-Hipswell-Catterick tee 2,Hipswell T2 33kV,33.0,0.37,0.67,0.0,39,0.84,Northeast
Norton,Wensleydale T2 33kV,Leeming Bar - Wensleydale - Barden Friar tee,33.0,6.388000000000001,11.183,0.0,21,3.945,Northeast
Osbaldwick,Elvington T2 33kV,Melrosegate 33kV,33.0,14.333000000000002,16.097,0.0,18,10.121,Northeast
Osbaldwick,Gale Lane T2 33kV,Melrosegate 33kV,33.0,2.761,5.0,2.0330999999999997,34,6.527,Northeast
Osbaldwick,Haxby Road T3 11kV,Haxby Road T2 11kV,11.5,0.0,0.001,0.0,Busbar,Busbar,Northeast
Osbaldwick,Malton Grid 66kV,Scarborough T4 66kV,66.0,18.159,20.382,0.0,35.4378,29.452,Northeast
Osbaldwick,Malton Grid GT2 66kV,Malton Grid 66kV,66.0,0.0,0.001,0.0,Busbar,Busbar,Northeast
Osbaldwick,Malton-Yedingham-Scarborough tee,Yedingham T1 66kV,66.0,0.01,0.009000000000000001,0.0,51.4419,0.043,Northeast
Osbaldwick,Melrosegate 33kV,Campleshon Road T2 33kV,33.0,3.4000000000000004,2.6,0.0,21.4341,4.294,Northeast
Osbaldwick,Melrosegate 33kV,Haxby Road T1 33kV,33.0,3.669,2.757,0.6683,18,2.923,Northeast
Osbaldwick,Melrosegate 33kV,Haxby Road T3 T4 33kV,33.0,2.23,1.5810000000000002,5.94488,24,2.341,Northeast
Osbaldwick,Melrosegate 33kV,York University T1 33kV,33.0,1.088,1.327,0.50286,30,1.972,Northeast
Osbaldwick,Melrosegate 33kV,York University T2 33kV,33.0,1.083,1.32,0.5,31,1.962,Northeast
Osbaldwick,Melrosegate GT3 33kV,Melrosegate 33kV,33.0,0.0,0.001,0.0,Busbar,Busbar,Northeast
Osbaldwick,Osbaldwick 132kV,Osbaldwick-Malton-Scarborough tee 2,132.0,1.509,5.266,0.635,229,29.807,Northeast
Osbaldwick,Osbaldwick-Knapton-Scarborough tee 1,Knapton Generation 132kV,132.0,0.064,0.14400000000000002,0.0,114,0.673,Northeast
Osbaldwick,Osbaldwick-Knapton-Scarborough tee 1,Scarborough Grid GT1 132kV,132.0,0.8869999999999999,3.0949999999999998,3.024,113.172,19.13,Northeast
Osbaldwick,Osbaldwick-Malton-Scarborough tee 2,Malton Grid GT2 132kV,132.0,0.0,0.001,0.0,Busbar,Busbar,Northeast
Poppleton,Poppleton 33kV,Skeldergate T1 33kV,33.0,2.587,3.819,1.38286,35,4.87,Northeast
Osbaldwick,Scarborough Grid 33kV,Eastfield T2 33kV,33.0,3.05,3.2779999999999996,0.0,27.4357,2.737,Northeast
Osbaldwick,Scarborough Grid 33kV,Newby T1 33kV,33.0,3.0,2.6,0.0,23.7204,3.469,Northeast
Osbaldwick,Scarborough Grid 33kV,North Street T1 33kV,33.0,2.8000000000000003,2.1999999999999997,0.0,24.292,2.749,Northeast
Osbaldwick,Scarborough Grid 33kV,North Street T2 33kV,33.0,2.8000000000000003,2.1999999999999997,0.0,24.292,2.746,Northeast
Osbaldwick,Scarborough Grid 33kV,Scarborough T1 33kV,33.0,0.67089,1.24291,0.11675800000000001,37,1.174,Northeast
Osbaldwick,Scarborough Grid 33kV,Scarborough T2 33kV,33.0,0.66918,1.2397399999999998,0.116461,37,1.177,Northeast
Osbaldwick,Scarborough Grid GT2 33kV,Scarborough Grid 33kV,33.0,0.0,0.001,0.0,Busbar,Busbar,Northeast
Osbaldwick,York University T2 33kV,Elvington T1 33kV,33.0,12.833,15.798000000000002,0.0,23,8.263,Northeast
Saltholme,BASF Switch Red 66kV,BASF Switch Green 66kV,66.0,0.0,0.001,0.0,Busbar,Busbar,Northeast
Saltholme,Saltholme 132kV,Billingham Synthetic GT2 132kV,132.0,0.15,0.24,5.6000000000000005,113,2.637,Northeast
Saltholme,Saltholme 132kV,Port Clarence Generation,132.0,0.184,0.344,2.9147,131.46265629447777,4.096,Northeast
Saltholme,Seal Sands 66kV,North Bank Air Sw 66kV,66.0,0.384,0.655,0.0,66.874,2.148,Northeast
Saltholme,Seal Sands 66kV,Phillips Petroleum 66kV,66.0,0.468,0.655,3.66012,62,3.408,Northeast
Saltholme,Seal Sands 66kV,Phillips Petroleum 66kV,66.0,0.468,0.647,3.6395999999999997,62,3.37,Northeast
Spennymoor GSP,Chilton Generation 66kV,Spennymoor-Chilton-Skerneside tee1,66.0,0.201,0.0665,0.7893600000000001,85,2.392,Northeast
Spennymoor GSP,Potter House 66kV,Potter House T1 66kV,66.0,0.0,0.001,0.0,Busbar,Busbar,Northeast
Spennymoor GSP,Potter House 66kV,Potter House T3 66kV,66.0,0.0,0.001,0.0,Busbar,Busbar,Northeast
Spennymoor GSP,Potter House 66kV,Potter House-Belmont-Durham tee 1,66.0,0.6,0.647,0.0,40.582,2.114,Northeast
Spennymoor GSP,Potter House 66kV,Potter House-Belmont-Durham tee 2,66.0,0.726,0.685,0.0,47.4409,2.144,Northeast
Spennymoor GSP,Potter House 66kV,Potter House-High Flatts-Annfield tee,66.0,3.798,0.525,0.04878,37,5.773,Northeast
Spennymoor GSP,Potter House-Belmont-Durham tee 1,Belmont T1 66kV,66.0,0.586,0.847,0.0,35.6664,2.2349,Northeast
Spennymoor GSP,Spennymoor 132kV,Spennymoor-Potter House-Durham tee 2,132.0,0.911,2.09,1.23285,114,9.156,Northeast
Spennymoor GSP,Spennymoor 66kV,Belmont T1 66kV,66.0,6.357,8.963000000000001,0.9434,36,10.53,Northeast
Spennymoor GSP,Spennymoor 66kV,Spennymoor-Brancepeth-Meadowfield tee 2,66.0,3.183,4.877,0.0,50.6417,4.234,Northeast
Spennymoor GSP,Spennymoor GT2 132kV,Spennymoor 132kV,132.0,0.042,0.031,0.7779999999999999,89.166,0.486,Northeast
Spennymoor GSP,Spennymoor GT3 66kV,Spennymoor 66kV,66.0,0.0,0.001,0.0,Busbar,Busbar,Northeast
Spennymoor GSP,Spennymoor-Brancepeth-Meadowfield tee 1,Meadowfield T1 66kV,66.0,3.25,2.7289999999999996,0.0,38.9815,2.323,Northeast
Spennymoor GSP,Spennymoor-Chilton-Skerneside tee2,Chilton Generation 66kV,66.0,0.194,0.643,0.76329,85,2.313,Northeast
Spennymoor GSP,Spennymoor-Chilton-Skerneside tee2,Skerneside T2 66kV,66.0,2.2399999999999998,5.808,0.3069,57,6.969,Northeast
Spennymoor GSP,Spennymoor-Potter House-Durham tee 2,Potter House GT2 132kV,132.0,0.481,1.066,0.243,114,4.273,Northeast
Spennymoor GSP,Toronto 66kV,Eastgate Cement T1 66kV,66.0,14.735999999999999,26.941,0.0,37,28.179299999999998,Northeast
Spennymoor GSP,Toronto 66kV,Toronto-Harmire-Fylands tee 1,66.0,1.302,3.363,0.0,57.272,3.727,Northeast
Spennymoor GSP,Toronto-Eastgate T2-Stonefoot tee,Eastgate Cement T2 66kV,66.0,6.247,14.821000000000002,0.0,37,16.463,Northeast
Spennymoor GSP,Toronto-Harmire-Fylands tee 2,Harmire Bridge T2 66kV,66.0,6.5600000000000005,17.039,0.0,38.2956,18.73,Northeast
Stella South,Annfield 66kV,Tanfield T1 66kV,66.0,1.999,5.096,0.0,57.272,5.871,Northeast
Stella South,Annfield 66kV,Tanfield T2 66kV,66.0,0.1975,4.5056,0.0,57.272,5.588,Northeast
Stella North,Barrack Road 33kV,Educational Precinct T2 33kV,33.0,1.2349999999999999,1.672,0.0,26.4068,1.726,Northeast
Stella North,Barrack Road 33kV,Gateshead Central T1 33kV,33.0,2.388,2.516,0.0,18.3,3.797,Northeast
Stella North,Barrack Road GT1 33kV,Barrack Road 33kV,33.0,0.0023,0.0065,0.0,Busbar,Busbar,Northeast
Stella North,Barrack Road GT2 33kV,Barrack Road 33kV,33.0,0.0046,0.013,0.074,Busbar,Busbar,Northeast
Stella North,Blucher 33kV,Kenton T1 33kV,33.0,2.464,6.115,0.0,45,6.417,Northeast
Stella North,Blucher 33kV,Newcastle Airport T2 33kV,33.0,3.993,5.723000000000001,1.848,28.9,7.09,Northeast
Stella North,Blucher 33kV,Westerhope T1 33kV,33.0,4.1579999999999995,2.495,0.0,22.2915,3.218,Northeast
Stella North,Blucher GT2 132kV,Stella North 132kV,132.0,0.08009999999999999,0.184,0.0,89,1.523,Northeast
Stella North,Blucher GT2 33kV,Blucher 33kV,33.0,0.0,0.001,0.0,Busbar,Busbar,Northeast
Stella North,Close T2 66kV,Dunston 66kV,66.0,1.39,1.6320000000000001,0.0,40.582,4.776,Northeast
Stella South,Coalburns 66kV,Coalburns-Hexham-Riding Mill Pumps tee 2,66.0,3.75,9.306,0.0,57,10.406,Northeast
Stella South,Coalburns 66kV,Dunston-Blaydon Burn-Coalburns tee 1,66.0,2.021,4.758,0.0,46.2977,5.386,Northeast
Stella South,Coalburns GT1 66kV,Coalburns 66kV,66.0,0.0,0.001,0.0,Busbar,Busbar,Northeast
Stella South,Coalburns GT2 66kV,Coalburns 66kV,66.0,0.0,0.001,0.0,Busbar,Busbar,Northeast
Stella South,Coalburns-Hexham-Riding Mill Pumps tee 1,Riding Mill Pumps T1 66kV,66.0,0.91,1.287,0.0,42,2.932,Northeast
Stella North,Dunston 66kV,Bensham T1 66kV,66.0,1.4000000000000001,0.8,0.0,33.723,3.295,Northeast
Stella South,Ravensworth 66kV,Birtley Grove T2 T4 66kV,66.0,0.096,0.179,0.0,37.1525,1.27,Northeast
Stella South,Ravensworth 66kV,Ravensworth-Team Valley-Dunston tee 2,66.0,0.625,1.6049999999999998,0.0,57.272,1.957,Northeast
Stella South,Ravensworth GT2 132kV,Harraton GT2 132kV,132.0,0.5459999999999999,1.2155,1.1242,114,6.512,Northeast
Stella North,Ravensworth-Team Valley-Dunston tee 1,Dunston 66kV,66.0,2.225,5.921,0.0,49.7272,7.103,Northeast
Stella South,Ravensworth-Team Valley-Dunston tee 2,Team Valley T2 66kV,66.0,0.298,0.305,0.0,47.4409,1.479,Northeast
Stella North,Stella North 132kV,Newburn Haugh T1 132kV,132.0,0.092,0.17099999999999999,0.0,103,0.97,Northeast
Stella South,Stella South 132kV,Annfield GT1 132kV,132.0,1.6709999999999998,3.843,0.0,114,17.391,Northeast
Stella South,Stella South 132kV,Coalburns GT1 132kV,132.0,0.869,2.025,0.27312000000000003,114,9.983,Northeast
Stella South,Stella South 132kV,Ravensworth GT2 132kV,132.0,1.488,3.3404999999999996,3.3728000000000002,114,15.399,Northeast
Fourstones 20kV,Ray Windfarm 33kV,Fourstones 33kV,33.0,5.051,22.040000000000003,0.0,54,23.594,Northeast
Spadeadam 33kV,Kielder Sw,Kielder 33kV,33.0,0.27999999999999997,0.28700000000000003,0.0,13,0.24,Northeast
Tynemouth,Chirton Grange 33kV,Billy Mill T1 33kV,33.0,1.488,1.157,0.0,21.4341,1.472,Northeast
Tynemouth,Chirton Grange 33kV,Monkseaton T1 33kV,33.0,3.2969999999999997,2.4979999999999998,0.0,21.4341,3.215,Northeast
Tynemouth,Chirton Grange 33kV,Tynemouth Central T2 33kV,33.0,4.619,3.489,0.0,21.4341,4.496,Northeast
Tynemouth,Chirton Grange GT1 33kV,Chirton Grange 33kV,33.0,0.0,0.001,0.0,Busbar,Busbar,Northeast
Tynemouth,Chirton Grange GT2 33kV,Chirton Grange 33kV,33.0,0.0,0.001,0.0,Busbar,Busbar,Northeast
Tynemouth,Flatworth 33kV,Flatworth Yellow 33kV,33.0,0.060767999999999996,0.08777599999999999,0.0075959999999999995,35,0.084,Northeast
Tynemouth,Flatworth 33kV,Howdon T1 33kV,33.0,1.414,1.093,0.0,21.4341,1.389,Northeast
Tynemouth,Flatworth 33kV,Willington T1 33kV,33.0,2.782,2.1950000000000003,0.0,21.4341,2.791,Northeast
Tynemouth,Flatworth GT1 33kV,Flatworth 33kV,33.0,0.0,0.001,0.0,Busbar,Busbar,Northeast
Tynemouth,Gosforth 33kV,Gosforth Metro T1 33kV,33.0,0.0,0.001,0.0,Busbar,Busbar,Northeast
Tynemouth,Gosforth 33kV,Gosforth Metro T2 33kV,33.0,0.0,0.001,0.0,Busbar,Busbar,Northeast
Tynemouth,Gosforth 33kV,Kenton T1 33kV,33.0,4.354,2.788,0.0,26.5783,3.954,Northeast
Tynemouth,Gosforth 33kV,Kenton T2 33kV,33.0,4.356999999999999,2.794,0.0,26.5783,3.96,Northeast
Tynemouth,Gosforth 33kV,Killingworth T1 33kV,33.0,2.771,2.766,0.0,24.8636,3.475,Northeast
Tynemouth,Gosforth 33kV,Killingworth T2 33kV,33.0,2.771,2.794,0.0,24.8636,3.474,Northeast
Tynemouth,Pandon Green 33kV,Fossway T6 33kV,33.0,3.0380000000000003,3.1,0.0,23.7,3.339,Northeast
South Shields,South Shields 33kV,Garwood Street T1 33kV,33.0,1.16,1.48,0.0,24.0062,1.78,Northeast
South Shields,South Shields 33kV,Ormonde Street Red 33kV,33.0,1.698,2.062,0.0,30.5794,3.308,Northeast
West Boldon,Carr Hill T1 66kV,Harlow Green T1 66kV,66.0,0.36,0.488,0.0,54,2.024,Northeast
West Boldon,Carr Hill T2 66kV,Harlow Green T2 66kV,66.0,0.307,0.39699999999999996,0.0,54,1.993,Northeast
Tynemouth,Fossway 66kV,Fossway-Benton Square-Hebburn tee,66.0,0.58,0.532,0.0,44.583,6.641,Northeast
West Boldon,Hebburn West 66kV,Leam Central 66kV,66.0,1.4000000000000001,2.5,0.0,44.583,4.968,Northeast
West Boldon,Mount Road T2 33kV,Sunderland T8 33kV,33.0,1.4540000000000002,2.098,0.0,28,2.332,Northeast
West Boldon,Nissan North-Nissan tee 1,Nissan North T1 66kV,66.0,0.147,0.251,0.0,65,0.822,Northeast
West Boldon,Nissan North-Nissan tee 1,Nissan T1 66kV,66.0,0.629,0.35400000000000004,0.0,35,1.041,Northeast
West Boldon,Nissan Tee 2,Nissan North T2 66kV,66.0,0.145,0.246,0.0,65,0.808,Northeast
West Boldon,Pallion Trading T2 33kV,Pallion Trading T2 33kV,33.0,1.1769999999999998,0.9809999999999999,0.0,24.0062,1.373,Northeast
West Boldon,Usworth T2 66kV,West Boldon-High Barmston-Herrington tee 2,66.0,0.61,1.63,0.0,55.6716,2.333,Northeast
West Boldon,Walker 66kV,Fossway 66kV,66.0,2.244,2.206,0.0,40.0104,2.813,Northeast
West Boldon,Wardley 66kV,Hebburn 66kV,66.0,7.19,1.135,0.0,44.583,2.718,Northeast
West Boldon,West Boldon 66kV,Carr Hill T1 66kV,66.0,0.8330000000000001,0.729,0.0,37,9.177,Northeast
West Boldon,West Boldon 66kV,Sunderland T1 T5 66kV,66.0,1.9220000000000002,3.7289999999999996,0.0,29,7.515,Northeast
West Boldon,West Boldon 66kV,Sunderland T2 T6 66kV,66.0,1.7309999999999999,3.1390000000000002,0.0,45,12.487,Northeast
West Boldon,West Boldon 66kV,Usworth T1 66kV,66.0,0.5309999999999999,1.425,0.0,55.6716,4.11,Northeast
West Boldon,West Boldon-High Barmston-Herrington tee 2,Herrington Burn 66kV,66.0,1.117,3.0852,0.0,54.8714,3.514,Northeast
Bradford West,AIREDALE ROAD T1,AIRR-BING-SILS-TEE1,33.0,3.838239431,7.310313702,0.0,24.577800959402367,3.164300049,Yorkshire
Bradford West,AIRR-BING-SILS-TEE2,SILSDEN T3,33.0,5.605,10.553,0.028,15.775518755337332,5.379971190999999,Yorkshire
Bradford West,BANO-CRAC-SALF-TEE,BARNOLDSWICK T2,33.0,1.498999953,3.114000082,0.012,31.436722157375122,2.413493408,Yorkshire
Bradford West,BANO-CRAC-SILS-TEE,CRAC-INGL-SILS-TEE,33.0,7.212,14.99,0.019,31.436722157375122,5.183822266,Yorkshire
Bradford West,BING-KIRD-MENS-TEE,GRAINCLIFFE LSI,33.0,7.128,16.895,0.0,23.14885904315804,4.76,Yorkshire
Bradford West,BINGLEY GT1,BINGLEY T1,33.0,0.065,0.074,0.0,22.520124600010544,0.066,Yorkshire
Bradford West,BINGLEY GT2,BINGLEY T2,33.0,0.077,0.087,0.0,22.520124600010544,0.078,Yorkshire
Bradford West,BOLTON ROAD T2,SILSDEN T2,33.0,1.166,0.917,0.368,26.292531258895558,1.080053467,Yorkshire
Bradford West,BRADFORD T1,IDLE T1,33.0,3.029,3.855,0.0,30.293568624379663,3.386699951,Yorkshire
Bradford West,BRADFORD T2,WINDHILL LSI,33.0,6.522,14.812,0.0,17.83319511472916,4.85,Yorkshire
Bradford West,BRADFORD WEST SGT1,HOLMFIELD T2,132.0,0.745,1.645,2.647,114.5,7.681,Yorkshire
Bradford West,BRADFORD WEST SGT1,SILSDEN T2,132.0,1.303,2.907,3.813,114.54398400614498,13.452919920000001,Yorkshire
Bradford West,BRADFORD WEST SGT3,KEIGHLEY T2,132.0,0.743,1.636,3.612,114.54398400614498,7.789370117000001,Yorkshire
Bradford West,CHEL-ILKL-SILS-TEE,SILSDEN T1,33.0,4.016,7.247,0.0,25.94958519899692,2.395199951,Yorkshire
Bradford West,CRACOE T2,BANO-CRAC-SILS-TEE,33.0,21.20299911,33.91699982,0.028000001,12.003112096452318,10.5173125,Yorkshire
Bradford West,CRAC-SILS-SKIP-TEE,SILSDEN T3,33.0,18.434,26.4,0.0,17.83319511472916,7.509600098,Yorkshire
Bradford West,CROSSHILLS T2,SILSDEN T2,33.0,6.995,14.444,0.047,28.578838324886473,3.9043698730000003,Yorkshire
Bradford West,CROSSROADS TEE,BINGLEY GT1,33.0,9.675428391,19.96536636,0.0,25.149377725900095,7.192313477,Yorkshire
Bradford West,CROSSROADS TEE,HAWORTH T1,33.0,0.549,1.136,0.0,24.577800959402367,0.45848001099999997,Yorkshire
Bradford West,CROWN STREET T2,GIRLINGTON T2,33.0,2.131,1.689,0.639,25.149377725900095,1.483329712,Yorkshire
Bradford West,DOCKFIELDS ROAD LSI,HALS-KIRD-SHIP-TEE,33.0,3.211,6.624,0.0,23.14885904315804,1.91,Yorkshire
Bradford West,FOUR LANE ENDS T2,TOLLER LANE T2,33.0,1.687,1.354,0.496,25.149377725900095,1.185994995,Yorkshire
Bradford West,FURNESS AVENUE T1,HOLMFIELD T1,33.0,1.484,1.763,0.0,24.577800959402367,2.006,Yorkshire
Bradford West,GIBRALTAR ROAD T2,HOPWOOD LANE,33.0,1.121,0.993,0.216,30.293568624379663,0.7626923217999999,Yorkshire
Bradford West,GIRLINGTON T1,BRADFORD WEST SGT4,132.0,0.087,0.646,50.565,179.93236609348523,6.257799804999999,Yorkshire
Bradford West,HALLAM STREET T1,MENSTON T1,33.0,2.103,1.647,0.151,25.149377725900095,1.634186401,Yorkshire
Bradford West,HARDEN T2,BINGLEY GT2,33.0,2.87,2.342,0.803,27.72147317513988,2.7354736330000002,Yorkshire
Ferrybridge B,HOLMFIELD TEE,FURNESS AVENUE T2,33.0,1.482,1.805,0.271406,25,2.023,Yorkshire
Ferrybridge B,HOLMFIELD TEE,HOLMFIELD T2,33.0,0.009,0.013,0.001046,34,0.012,Yorkshire
Bradford West,KIRK DRIVE T1,HALS-KIRD-SHIP-TEE,33.0,2.249,3.191,0.0,22.520124600010544,2.049223145,Yorkshire
Bradford West,MENSTON T1,MENS-RAWD-RODL-TEE1,33.0,3.871,2.963,0.536,17.147302994931884,2.2565744629999998,Yorkshire
Bradford West,MOORSIDE ROAD T2,BRADFORD T2,33.0,2.351,2.008,0.665,25.149377725900095,2.845503662,Yorkshire
Bradford West,MOUNT STREET T2,KILLINGHALL ROAD T2,33.0,1.678,1.362,0.464,25.149377725900095,1.817324219,Yorkshire
Bradford West,NABWOOD T1,BINGLEY GT1,33.0,4.383,2.926,0.0,21.14834036041599,3.5827077640000002,Yorkshire
Bradford West,NABWOOD T2,BINGLEY GT2,33.0,4.312,2.738,0.0,22.005705510162585,3.583704102,Yorkshire
Bradford West,NORTH AVENUE T2,POOL T2,33.0,5.126,12.065,0.0,28.635996001536245,3.560700195,Yorkshire
